class_names,epoch,tsne_1,tsne_2
1,23,44.066505,21.761925
2,23,10.81512,3.951149
3,23,5.655002,-48.46365
4,23,38.882004,-7.3624597
5,23,7.955371,28.996275
A,23,16.461807,-23.089233
B,23,-25.546177,-26.18091
C,23,-12.196684,40.6447
D,23,-31.683695,-2.484874
E,23,-6.742724,11.766094
S,23,-4.0455084,-12.167964
0,24,-37.45629,17.856535
1,24,36.701054,17.683638
2,24,14.173635,1.8933387
3,24,0.42483607,-48.13381
4,24,39.432724,-2.6813293
5,24,7.385152,29.52408
A,24,19.199707,-24.397715
B,24,-22.004333,-27.9001
C,24,-10.467718,43.99857
D,24,-30.234686,-3.7191257
E,24,-11.283626,7.69885
S,24,-3.7323577,-7.9282937
0,25,-35.492195,17.715942
1,25,43.17913,23.577118
2,25,14.31122,2.8177068
3,25,-1.2707968,-46.910824
4,25,36.52444,-5.7284875
5,25,8.120099,35.822746
A,25,20.70173,-28.041183
B,25,-18.959404,-26.49516
C,25,-13.387857,41.90358
D,25,-33.52405,-3.4512131
E,25,-8.215625,11.510783
S,25,-7.494898,-9.792716
0,26,-40.974796,17.94033
1,26,43.51794,20.949558
2,26,14.035557,1.2155057
3,26,-1.0918176,-45.398518
4,26,39.85223,-5.4113073
5,26,11.944558,34.3391
A,26,18.144459,-24.54333
B,26,-20.417185,-30.377064
C,26,-13.630001,40.44487
D,26,-37.9648,-6.351564
E,26,-11.089022,10.686819
S,26,-5.3335795,-11.360958
0,27,-37.106136,18.817171
1,27,38.397,18.6953
2,27,17.044563,3.5023189
3,27,-0.08337112,-41.716003
4,27,38.982285,-6.256894
5,27,10.464143,34.632267
A,27,16.90205,-25.362522
B,27,-25.109,-25.52372
C,27,-15.110251,44.418606
D,27,-36.682858,-7.6457705
E,27,-13.914437,10.344685
S,27,0.16473706,-14.647915
0,28,-39.21558,16.166607
1,28,38.361076,23.108486
2,28,15.611803,4.837001
3,28,1.2192405,-47.74427
4,28,40.684402,-6.66796
5,28,11.01363,31.66129
A,28,20.305597,-18.659233
B,28,-17.598406,-28.638737
C,28,-13.369362,40.95274
D,28,-37.847374,-8.461466
E,28,-11.542515,8.42112
S,28,0.26001027,-11.7200575
0,29,-42.602024,21.195873
1,29,43.343185,19.836517
2,29,16.05914,1.9907141
3,29,3.6459582,-50.044167
4,29,41.396267,-6.384188
5,29,10.618509,27.828367
A,29,19.862326,-23.340559
B,29,-22.80001,-32.914654
C,29,-14.202352,46.085243
D,29,-33.938797,-7.3678465
E,29,-11.822059,13.82105
S,29,-4.979237,-12.842579
0,2,-37.648777,19.394697
1,2,38.96105,23.264408
2,2,18.017046,3.4295914
3,2,2.0324466,-49.430176
4,2,39.48939,-4.5747666
5,2,14.00906,31.339859
A,2,19.045897,-20.926691
B,2,-20.734882,-30.78886
C,2,-14.805474,44.93614
D,2,-31.97474,-1.5334059
E,2,-11.246738,6.7152243
S,2,-5.009975,-8.724655
0,30,-38.7776,18.27146
1,30,39.913837,20.706268
2,30,11.572911,7.617554
3,30,4.627173,-47.505985
4,30,41.705544,-6.95322
5,30,11.626117,36.166416
A,30,22.445086,-22.868666
B,30,-23.618319,-27.269093
C,30,-12.673435,42.963215
D,30,-35.06326,-7.8619113
E,30,-9.039032,8.110886
S,30,-4.4077935,-8.631665
0,31,-44.40119,20.395857
1,31,40.604904,21.192432
2,31,10.0316725,6.838791
3,31,3.9406338,-45.88934
4,31,42.592537,-9.048725
5,31,7.3581944,34.20322
A,31,19.786266,-27.035042
B,31,-24.362629,-30.13505
C,31,-9.302593,39.82
D,31,-32.147728,-4.2429004
E,31,-11.638473,12.664598
S,31,-1.2135663,-9.999453
0,32,-39.211506,21.336884
1,32,39.265232,19.141447
2,32,14.644709,6.2070327
3,32,2.5026085,-45.6697
4,32,38.40694,-6.5878825
5,32,8.2213745,34.014214
A,32,19.110584,-21.07257
B,32,-20.63858,-32.451622
C,32,-12.6408825,44.520008
D,32,-36.357674,-4.927573
E,32,-10.876181,12.362496
S,32,-4.090533,-16.894417
0,33,-41.770462,16.872906
1,33,36.60712,23.218018
2,33,11.802082,3.248066
3,33,2.3948486,-43.32861
4,33,40.27425,-5.646709
5,33,12.897006,34.689358
A,33,20.735468,-22.15359
B,33,-19.10053,-27.757536
C,33,-8.989805,44.65723
D,33,-33.480385,-9.318947
E,33,-9.454606,15.797996
S,33,-3.3085222,-12.19476
0,34,-40.33194,15.263057
1,34,35.316605,18.858423
2,34,10.604744,5.7402396
3,34,-1.37646,-47.51187
4,34,44.7382,-4.4704537
5,34,12.222955,37.349464
A,34,20.368586,-21.759771
B,34,-20.834543,-32.8245
C,34,-13.348582,38.63444
D,34,-32.819073,-4.020228
E,34,-11.790015,8.91033
S,34,-0.5878175,-16.037903
0,35,-39.084267,21.166513
1,35,43.268776,19.654741
2,35,10.087178,4.065501
3,35,3.9312737,-46.163036
4,35,43.562176,-7.98649
5,35,8.460277,35.195343
A,35,15.465087,-22.887743
B,35,-20.965977,-26.355595
C,35,-15.040538,40.425232
D,35,-34.515068,-7.4162507
E,35,-13.593612,9.961572
S,35,-4.409994,-8.207784
0,36,-43.347458,17.130257
1,36,36.02247,18.16445
2,36,12.085982,6.265763
3,36,-3.1249256,-47.952747
